Name,Party,State,District,Start,Twitter
110,Jared Evan Moskowitz,Democratic Party,Florida,23,2023-01-03,RepMoskowitz
111,Frederica S. Wilson,Democratic Party,Florida,24,2013-01-03,RepWilson
112,Debbie Wasserman Schultz,Democratic Party,Florida,25,2023-01-03,RepDWStweets
113,Mario Diaz-Balart,Republican Party,Florida,26,2023-01-03,MarioDB
114,Maria Elvira Salazar,Republican Party,Florida,27,2021-01-03,RepMariaSalazar
115,Carlos Gimenez,Republican Party,Florida,28,2023-01-03,RepCarlos
116,Earl Carter,Republican Party,Georgia,1,2015-01-03,RepBuddyCarter
117,Sanford Bishop Jr.,Democratic Party,Georgia,2,1993-01-03,SanfordBishop
118,Drew Ferguson,Republican Party,Georgia,3,2017-01-03,RepDrewFerguson
119,Hank Johnson,Democratic Party,Georgia,4,2007-01-03,RepHankJohnson
120,Nikema Williams,Democratic Party,Georgia,5,2021-01-03,RepNikema
121,Rich McCormick,Republican Party,Georgia,6,2023-01-03,RepMcCormick
122,Lucy McBath,Democratic Party,Georgia,7,2023-01-03,RepLucyMcBath
123,Austin Scott,Republican Party,Georgia,8,2011-01-03,AustinScottGA08
124,Andrew Clyde,Republican Party,Georgia,9,2021-01-03,Rep_Clyde
125,Mike Collins,Republican Party,Georgia,10,2023-01-03,RepMikeCollins
126,Barry Loudermilk,Republican Party,Georgia,11,2015-01-03,reploudermilk
127,Rick Allen,Republican Party,Georgia,12,2015-01-03,RepRickAllen
128,David Scott,Democratic Party,Georgia,13,2003-01-03,repdavidscott
129,Marjorie Taylor Greene,Republican Party,Georgia,14,2021-01-03,RepMTG
130,James Moylan,Republican Party,Guam,1,2023-01-03,JMoylanforGuam
131,Ed Case,Democratic Party,Hawaii,1,2019-01-03,RepEdCase
132,Jill Tokuda,Democratic Party,Hawaii,2,2023-01-03,RepJillTokuda
133,Russ Fulcher,Republican Party,Idaho,1,2019-01-03,RepRussFulcher
134,Michael K. Simpson,Republican Party,Idaho,2,1999-01-03,CongMikeSimpson
135,Jonathan Jackson,Democratic Party,Illinois,1,2023-01-03,CongressJackson
136,Robin Kelly,Democratic Party,Illinois,2,2013-04-11,RepRobinKelly
137,Delia Ramirez,Democratic Party,Illinois,3,2023-01-03,Delia4Congress
138,Jesus Garcia,Democratic Party,Illinois,4,2019-01-03,RepChuyGarcia
139,Mike Quigley,Democratic Party,Illinois,5,2009-04-07,RepMikeQuigley
140,Sean Casten,Democratic Party,Illinois,6,2019-01-03,RepCasten
141,Danny K. Davis,Democratic Party,Illinois,7,1997-01-03,RepDannyDavis
142,Raja Krishnamoorthi,Democratic Party,Illinois,8,2017-01-03,CongressmanRaja
143,Jan Schakowsky,Democratic Party,Illinois,9,1999-01-03,RepSchakowsky
144,Brad Schneider,Democratic Party,Illinois,10,2017-01-03,repschneider
145,Bill Foster,Democratic Party,Illinois,11,2013-01-03,RepBillFoster
146,Mike Bost,Republican Party,Illinois,12,2015-01-03,RepBost
147,Nikki Budzinski,Democratic Party,Illinois,13,2023-01-03,RepNikkiB
148,Lauren Underwood,Democratic Party,Illinois,14,2019-01-03,RepUnderwood
149,Mary Miller,Republican Party,Illinois,15,2021-01-03,RepMaryMiller
150,Darin LaHood,Republican Party,Illinois,16,2023-01-03,RepLaHood
151,Eric Sorensen,Democratic Party,Illinois,17,2023-01-03,RepEricSorensen
152,Frank Mrvan,Democratic Party,Indiana,1,2021-01-03,RepMrvan
153,Rudy Yakym,Republican Party,Indiana,2,2022-11-14,RepRudyYakym
154,Jim Banks,Republican Party,Indiana,3,2017-01-03,RepJimBanks
155,Jim Baird,Republican Party,Indiana,4,2019-01-03,RepJimBaird
156,Victoria Spartz,Republican Party,Indiana,5,2021-01-03,RepSpartz
157,Greg Pence,Republican Party,Indiana,6,2019-01-03,RepGregPence
158,André Carson,Democratic Party,Indiana,7,2008-03-13,RepAndreCarson
159,Larry Bucshon,Republican Party,Indiana,8,2011-01-03,RepLarryBucshon
160,Erin Houchin,Republican Party,Indiana,9,2023-01-03,RepHouchin
161,Mariannette Miller-Meeks,Republican Party,Iowa,1,2023-01-03,RepMMM
162,Ashley Hinson,Republican Party,Iowa,2,2023-01-03,RepAshleyHinson
163,Zach Nunn,Republican Party,Iowa,3,2023-01-03,ZachNunn
164,Randy Feenstra,Republican Party,Iowa,4,2021-01-03,RepFeenstra
165,Tracey Mann,Republican Party,Kansas,1,2021-01-03,RepMann
166,Jacob LaTurner,Republican Party,Kansas,2,2021-01-03,RepLaTurner
167,Sharice Davids,Democratic Party,Kansas,3,2019-01-03,RepDavids
168,Ron Estes,Republican Party,Kansas,4,2017-04-25,RepRonEstes
169,James Comer Jr.,Republican Party,Kentucky,1,2016-11-14,RepJamesComer
170,Brett Guthrie,Republican Party,Kentucky,2,2009-01-03,RepGuthrie
171,Morgan McGarvey,Democratic Party,Kentucky,3,2023-01-03,RepMcGarvey
172,Thomas Massie,Republican Party,Kentucky,4,2012-11-13,RepThomasMassie
173,Hal Rogers,Republican Party,Kentucky,5,1981-01-03,RepHalRogers
174,Andy Barr,Republican Party,Kentucky,6,2013-01-03,RepAndyBarr
175,Steve Scalise,Republican Party,Louisiana,1,2008-05-03,SteveScalise
176,Troy Carter,Democratic Party,Louisiana,2,2021-05-11,RepTroyCarter
177,Clay Higgins,Republican Party,Louisiana,3,2017-01-03,RepClayHiggins
178,Mike Johnson,Republican Party,Louisiana,4,2017-01-03,RepMikeJohnson
