Name,Party,State,District,Start,Twitter
Mike Collins,Republican Party,Georgia,10,2023-01-03,RepMikeCollins
Barry Loudermilk,Republican Party,Georgia,11,2015-01-03,reploudermilk
Rick Allen,Republican Party,Georgia,12,2015-01-03,RepRickAllen
David Scott,Democratic Party,Georgia,13,2003-01-03,repdavidscott
Marjorie Taylor Greene,Republican Party,Georgia,14,2021-01-03,RepMTG
James Moylan,Republican Party,Guam,1,2023-01-03,JMoylanforGuam
Ed Case,Democratic Party,Hawaii,1,2019-01-03,RepEdCase
Jill Tokuda,Democratic Party,Hawaii,2,2023-01-03,RepJillTokuda
Russ Fulcher,Republican Party,Idaho,1,2019-01-03,RepRussFulcher
Michael K. Simpson,Republican Party,Idaho,2,1999-01-03,CongMikeSimpson
Jonathan Jackson,Democratic Party,Illinois,1,2023-01-03,CongressJackson
Robin Kelly,Democratic Party,Illinois,2,2013-04-11,RepRobinKelly
Delia Ramirez,Democratic Party,Illinois,3,2023-01-03,Delia4Congress
Jesus Garcia,Democratic Party,Illinois,4,2019-01-03,RepChuyGarcia
Mike Quigley,Democratic Party,Illinois,5,2009-04-07,RepMikeQuigley
Sean Casten,Democratic Party,Illinois,6,2019-01-03,RepCasten
Danny K. Davis,Democratic Party,Illinois,7,1997-01-03,RepDannyDavis
Raja Krishnamoorthi,Democratic Party,Illinois,8,2017-01-03,CongressmanRaja
Jan Schakowsky,Democratic Party,Illinois,9,1999-01-03,RepSchakowsky
Brad Schneider,Democratic Party,Illinois,10,2017-01-03,repschneider
Bill Foster,Democratic Party,Illinois,11,2013-01-03,RepBillFoster
Mike Bost,Republican Party,Illinois,12,2015-01-03,RepBost
Nikki Budzinski,Democratic Party,Illinois,13,2023-01-03,RepNikkiB
Lauren Underwood,Democratic Party,Illinois,14,2019-01-03,RepUnderwood
Mary Miller,Republican Party,Illinois,15,2021-01-03,RepMaryMiller
Darin LaHood,Republican Party,Illinois,16,2023-01-03,RepLaHood
Eric Sorensen,Democratic Party,Illinois,17,2023-01-03,RepEricSorensen
Frank Mrvan,Democratic Party,Indiana,1,2021-01-03,RepMrvan
Rudy Yakym,Republican Party,Indiana,2,2022-11-14,RepRudyYakym
Jim Banks,Republican Party,Indiana,3,2017-01-03,RepJimBanks
Jim Baird,Republican Party,Indiana,4,2019-01-03,RepJimBaird
Victoria Spartz,Republican Party,Indiana,5,2021-01-03,RepSpartz
Greg Pence,Republican Party,Indiana,6,2019-01-03,RepGregPence
André Carson,Democratic Party,Indiana,7,2008-03-13,RepAndreCarson
Larry Bucshon,Republican Party,Indiana,8,2011-01-03,RepLarryBucshon
Erin Houchin,Republican Party,Indiana,9,2023-01-03,RepHouchin
Mariannette Miller-Meeks,Republican Party,Iowa,1,2023-01-03,RepMMM
